kernel,tokens,d_model,hidden_dim,dtype,ms,gb_per_s,max_abs,max_rel,mean_rel
pytorch_eager,512,4096,4096,bfloat16,0.0662,1141.1,0.000000,0.0000,0.000000
pytorch_eager,2048,4096,4096,bfloat16,0.2139,470.7,0.000000,0.0000,0.000000
pytorch_eager,8192,4096,4096,bfloat16,0.8842,227.7,0.000000,0.0000,0.000000
pytorch_eager,8192,8192,8192,bfloat16,3.3256,161.4,0.000000,0.0000,0.000000
pytorch_eager,32768,4096,8192,bfloat16,7.6342,123.1,0.000000,0.0000,0.000000
pytorch_eager,65536,4096,8192,bfloat16,14.8320,117.6,0.000000,0.0000,0.000000
pytorch_compile_separate,512,4096,4096,bfloat16,0.0566,1333.3,16.000000,0.0078,0.000128
pytorch_compile_separate,2048,4096,4096,bfloat16,0.1905,528.5,16.000000,0.0078,0.000128
pytorch_compile_separate,8192,4096,4096,bfloat16,0.8180,246.1,16.000000,0.0078,0.000128
pytorch_compile_separate,8192,8192,8192,bfloat16,3.2078,167.4,32.000000,0.0078,0.000094
pytorch_compile_separate,32768,4096,8192,bfloat16,7.1789,130.9,32.000000,0.0078,0.000128
pytorch_compile_separate,65536,4096,8192,bfloat16,13.7216,127.2,16.000000,0.0078,0.000128
pytorch_compile_stacked,512,4096,4096,bfloat16,0.0991,761.7,16.000000,0.0078,0.000128
pytorch_compile_stacked,2048,4096,4096,bfloat16,0.2382,422.5,16.000000,0.0078,0.000128
pytorch_compile_stacked,8192,4096,4096,bfloat16,0.8594,234.3,16.000000,0.0078,0.000128
pytorch_compile_stacked,8192,8192,8192,bfloat16,3.4860,154.0,32.000000,0.0078,0.000094
pytorch_compile_stacked,32768,4096,8192,bfloat16,7.5710,124.1,32.000000,0.0078,0.000128
pytorch_compile_stacked,65536,4096,8192,bfloat16,14.7040,118.7,16.000000,0.0078,0.000128
cutedsl,512,4096,4096,bfloat16,0.1002,753.6,256.000000,0.0229,0.001143
cutedsl,2048,4096,4096,bfloat16,0.3081,326.8,256.000000,0.0229,0.001142
cutedsl,8192,4096,4096,bfloat16,1.1388,176.8,512.000000,0.0237,0.001143
cutedsl,8192,8192,8192,bfloat16,4.3483,123.5,512.000000,0.0248,0.001102
cutedsl,32768,4096,8192,bfloat16,10.5847,88.8,512.000000,0.0241,0.001142
cutedsl,65536,4096,8192,bfloat16,21.4475,81.4,512.000000,0.0252,0.001142
cutedsl_pipelined,512,4096,4096,bfloat16,0.0654,1154.5,256.000000,0.0229,0.001143
cutedsl_pipelined,2048,4096,4096,bfloat16,0.2597,387.6,256.000000,0.0229,0.001142
cutedsl_pipelined,8192,4096,4096,bfloat16,1.0527,191.3,512.000000,0.0237,0.001143
cutedsl_pipelined,8192,8192,8192,bfloat16,4.0498,132.6,512.000000,0.0248,0.001102
cutedsl_pipelined,32768,4096,8192,bfloat16,10.3314,90.9,512.000000,0.0241,0.001142
cutedsl_pipelined,65536,4096,8192,bfloat16,20.7883,83.9,512.000000,0.0252,0.001142
helion,512,4096,4096,bfloat16,0.1333,566.3,256.000000,0.0229,0.001144
helion,2048,4096,4096,bfloat16,0.5394,186.6,256.000000,0.0273,0.001143
helion,8192,4096,4096,bfloat16,2.1286,94.6,512.000000,0.0312,0.001143
helion,8192,8192,8192,bfloat16,10.0792,53.3,512.000000,0.2617,0.001106
helion,32768,4096,8192,bfloat16,16.5680,56.7,512.000000,0.0742,0.001143
